테마명,종목명,테마 사유
LCD장비 ,에스엔유,"OLED, LCD 등의 산업용 제조장비 제조/판매 업체. 세계 주요 디스플레이 제조사들을 주요 고객으로 하고 있음."
LCD장비 ,주성엔지니어링,LCD용 PE-CVD장비(5G~8G 양산 장비 출하) 생산.
LCD장비 ,제우스,"TFT-LCD 제조장비(LCD IN-LINE TRANSFER SYSTEM, 공정장비(HP/CP포함), INSPECTION SYSTEM 등)를 주력 생산/판매하는 업체."
LCD장비 ,HB솔루션,"디스플레이 사업분야에 특화된 모듈 공정 디스플레이(LCD, OLED) 제조설비 자동화시스템 업체. 주요 제품으로 도포기 자동화설비(LCD & OLED MODULE), 조립기 자동화설비(OLED MODULE), 검사기 자동화설비(LCD MODULE, 삼성전자 의료기기사업부), 신기술 자동화설비(OLED MODULE) 등이 있음. 주요 매출처는 삼성그룹(삼성전자, 삼성디스플레이) 등."
LCD장비 ,윈텍,"머신비전(Machine Vision) 기술에 기반한 검사장비 업체로 디스플레이(OLED BONDER/BENDING) 관련 검사장비 사업부인 LI(LCD Inspector) 사업을 영위. LCD/OLED PANEL의 PCB 또는 전극 FILM에 Chip이나 FILM 등을 보다 정밀하게 측정하여 부착, 이를 통해 LCD 패널과 ACF를 보다 정밀하게 부착할 수 있도록 하는 디스플레이 검사장비를 보유."
LCD장비 ,신성이엔지,"클린룸 사업 부문에서 반도체 및 평판디스플레이, 이와 관련한 소재 및 제품 등의 제조공간에 공기청정도를 제어하는 장비를 생산, 설치하는 사업 영위."
LCD장비 ,베셀,"LCD/OLED 디스플레이용 장비 제조업체. LCD, OLED, 터치패널용 In-line System 및 각종 장비를 생산. LG디스플레이와 많은 개발 Project 들을 진행하였으며 다수의 국책과제에도 참여."
LCD장비 ,디이엔티,"LCD, OLED 제조용 검사장비를 전문적으로 생산, 판매하는 제조업체. 주요 제품으로는 디스플레이 장비인 Cell Prober, Array Tester, MAC/MIC 등."
LCD장비 ,DMS,"디스플레이패널 생산 장비 제조/판매업체. CLEANER(세정장비), WET ETCHER(습식 식각장비), COATER(감광액 도포장비), WET STRIPPER(감광액 박리장비), DEVELOPER(현상장비) 등을 주요 제품으로 LCD, OLED 생산에 필요한 TFT공정과 LCD 생산에 필요한 CF 공정에 장비 납품."
화폐/금융자동화기기(디지털화폐 등) ,센트럴인사이트,현금자동입출금기 제조 및 판매 등을 주요사업으로 영위.
화폐/금융자동화기기(디지털화폐 등) ,풍산,"비철금속의 소재(동 및 동합금 판/대, 관, 봉/선, 소전 등)를 제조, 판매하는 신동사업을 영위. 동전 재료(소전) 생산."
화폐/금융자동화기기(디지털화폐 등) ,케이씨에스,"한국컴퓨터지주에서 물적 분할을 통해 설립된 프로그래밍 및 시스템통합(SI) 전문업체. 금융단말 기반 KIOSK 사업(티켓발매기, 무인민원발급기, 주유기셀프Unit 등) 등을 영위. 신규사업으로 디바이스 암호화 사업과 일부 신규 솔루션 사업 등을 추진중."
화폐/금융자동화기기(디지털화폐 등) ,한국전자금융,"금융자동화기기(CD, ATM) 관리 서비스 전문업체. ATM관리사업(금융기관의 CD/ATM 관리를 아웃소싱), CD VAN사업(고객들에게 현금인출, 계좌조회, 계좌이체 서비스 등을 제공), 현금물류사업(현금처리와 관련된 제반 업무를 대행) 등을 영위."
화폐/금융자동화기기(디지털화폐 등) ,한네트,"한국컴퓨터지주 계열의 점외 현금자동지급기(CD)사업, 무인자동화기기 판매 및 현금등 정산관련 사업 영위 업체. 금융권이 진출하지 않은 지하철역, 대형 유통점, 편의점, 휴게소 등의 공공장소를 중심으로 현금자동인출기를 설치하고 연중무휴 365일 24시간 현금서비스를 제공."
화폐/금융자동화기기(디지털화폐 등) ,로지시스,"전산장비 유지보수 용역, 전산장비 판매, VAN서비스 대행용역 사업을 영위하는 업체. VAN서비스 대행사업은 편의점, 점외자동화기기 등을 설치하여 현금의 장입 및 회수, 장애처리 해결 등 전반적인 현금지급기 운영대행용역업을 수행중."
화폐/금융자동화기기(디지털화폐 등) ,케이씨티,"금융단말 시스템 및 특수단말 시스템 제조 및 판매를 주요 사업으로 영위하는 업체. 자동화기기(Smart ATM, mini CD기, 지능형순번대기시스템, 무인지로공과금수납기, OutDoor Kiosk, Information Kiosk 등), 금융단말기(영업점 창구용 통합 단말, 금융통합단말 솔루션xOP*era, 통장프린터, 카드발급기, 핀패드, 신분증스캐너 등)를 공급."
화폐/금융자동화기기(디지털화폐 등) ,카카오페이,한국은행의 중앙은행 디지털화폐(CBDC) 2차 사업 중점 과제 중 '오프라인 CBDC'와 '디지털자산 구매'를 개발.
화폐/금융자동화기기(디지털화폐 등) ,푸른기술,"무인 자동화기기관련 제품 생산 업체. 금융자동화(현금 입출금기 및 현금 방출기 관련 모듈 및 시스템 등), 역무자동화(승차권 발매기, 교통카드충전기 및 자동게이트시스템 등), 특수단말시스템(마권발매기, 스포츠토토 발매기, 대형마트 푸드코트 식권발매 Kiosk, 공항/항만 등의 세금환급 Kiosk 등) 등의 사업을 영위."
화폐/금융자동화기기(디지털화폐 등) ,누리플렉스,21년5월 라인플러스는와 중남미 및 아프리카를 포함한 다양한 지역의 중앙은행 디지털 통화(CBDC) 플랫폼 사업을 위한 업무협약(MOU) 체결.
화폐/금융자동화기기(디지털화폐 등) ,프리엠스,"건설용 중장비 전장품과 자동제어기기 제조 및 판매업체. 프린터, 현금인출기, 마권발매기 등 금융단말기를 OEM 생산방식을 통해 제조 및 판매."
OLED(유기 발광 다이오드) ,APS홀딩스,신규 사업으로 소형 유기발광다이오드 증착 공정에 사용되는 섀도마스크(FMM)에 대한 기술 개발을 진행. 20년6월 'AMOLED FMM 제조기술개발' 과제의 수행기관으로 선정. 20년11월 FMM(Fine Metal Mask) 제조 부문을 분할하여 분할 신설회사 에이피에스머티리얼즈를 설립.
OLED(유기 발광 다이오드) ,제이스텍,디스플레이 장비 제조업체로 모듈공정에서 AMOLED 패널과 PCB를 접착시키는 후공정 장비(FPD 본딩장비)를 생산.
OLED(유기 발광 다이오드) ,나인테크,2차전지 조립공정 장비 및 디스플레이 공정 장비 제조 업체. 디스플레이(OLED 등) 패널 제조업체를 대상으로 디스플레이용 기판을 세정하는 Wet Station 및 진공/N₂ 챔버를 개발 및 공급 중.
OLED(유기 발광 다이오드) ,포인트엔지니어링,"표면처리 전문업체. 디스플레이(LCD 및 OLED) 및 반도체 공정에 사용되는 공정장비의 핵심부품을 제작, 가공 및 표면처리를 중점사업으로 영위. 주요 제품으로는 Diffuser(Shower Head) 및 Susceptor, Shadow Frame 등이 있음."
OLED(유기 발광 다이오드) ,에스에이티이엔지,"디스플레이 장비 제조 및 판매업체로 모듈 공정 중 디스플레이(LCD, OLED 등) 패널 검사 및 기타 자재 부착 공정에 필요한 장비를 생산. 주요 제품으로는 PCB BONDER, AOI(Auto Optical Inspection), DISPENSER SYSTEM, PAD CLEANER, PCB AOI,  Edge Inking System 등이 있음. 주요 거래처는 국내 LG디스플레이 등을 비롯해 해외 CSOT, CEC PANDA, HKC, INLLOUX, SHARP, FOXCONN 등."
OLED(유기 발광 다이오드) ,우리넷,OLED 소재 사업 영위. OLED 디스플레이 유기물소재를 중국 디스플레이 업체에 납품중.
OLED(유기 발광 다이오드) ,이큐셀,"반도체, 디스플레이 및 에너지 산업 분야의 공정 장비 개발 및 제조사업을 영위하는 업체. 주요 제품으로 N2 환경 중 8세대 OLED패널 이송 장치인 TRANSFER 등을 생산."
OLED(유기 발광 다이오드) ,비아트론,"디스플레이 패널 열처리장비 전문업체. AMOLED, LTPS LCD, Oxide TFT, Flexible Display 등의 디스플레이 패널 제작을 위한 backplane 제조 관련 열처리장비를 주요제품으로 생산/판매중."
